"","X1_050_06.y","X1_090_07.y","X1_120_01.y","X1_200_02.y","X1_300_04.y","X1_400_05.y","X1_600_03.y","X3_040_07.y","X3_060_01.y","X3_080_02.y","X3_120_06.y","X3_150_07.y","X3_200_01.y","X3_250_02.y","X3_300_01.y","X3_400_02.y","X3_500_04.y","X3_550_05.y","X3_600_03.y","X3_800_03.y","X5_020_06.y","X5_050_07.y","X5_080_01.y","X5_120_02.y","X5_200_04.y","X5_300_05.y","X5_400_03.y","X5_500_05.y","X5_600_03.y","X6_040_06.y","X6_080_07.y","X6_200_01.y","X8_040_06.y","X8_070_07.y","X8_200_01.y","X9_040_06.y","X9_070_07.y","X9_380_01.y","X12_040_06.y","X12_120_07.y","X12_300_01.y","X12_1900_03.y"
"K05542",0,0,0,0,10.93039,0,0,0,0,0,12.08129,1.574917,0,1.96192,0,0,0,0,42.39438,1.504562,6.774803,3.077185,4.754068,0,0,13.86398,0,2.665739,0,9.205206,8.980833,1.28643,4.828695,2.629905,7.146849,8.426608,9.032366,1.227303,0,0.922792,17.32448,0
"K05544",1.229856894,0.673967791,0.560871266,0,2.357301715,0,0,0,0.721908752,0.887925133,0.254976053,0,0,0,1.21096001,2.400061928,8.7924854,0,0.714295091,0,0.549932636,0.270600433,0,0.486182349,0.285145934,0.825866668,0,1.42172338,2.061047776,0,0.175500776,0,0,0.23126766,0,0.555762201,0.243495484,0.330857687,0.358521487,1.217222648,1.751382291,0
"K05546",12.094516767,11.36244238,7.932553294,0,1.960846,1.399796418,0,12.436437358,7.442950497,3.935448585,9.610653292,8.979920386,7.91264,0,8.733088,3.729153,1.125192,0,0,8.270897788,21.241455082,10.428326844,19.732107462,20.674142495,24.197914314,4.1756452,16.085404208,2.365231,4.204658254,16.22927003,8.012975018,6.383186552,3.821933998,4.202385276,10.00098,11.262265114,26.924391304,21.516732019,0,6.924382973,0,0
"K05609",2.450786,3.357607,0,0,0,0,0,5.553668,0,5.308213,0,0,0,0,0,0,0,0,0,0,7.397143,4.853128,0.6816178,5.813011,0,0,0,0,0,1.075395,8.918051,1.036615,1.171614,2.073854,0,0,0,0,2.143321,0,0,0
"K05610",0,12.443161,1.567458,0,18.973,0,0,2.2555136,0.9174257,0,6.6077128,2.816056,0.6609603,1.792372,1.025952,7.4011567,22.4046067,0,0,1.345128,5.217828,0,0.3863903,1.235713,12.658453,17.818414,35.12751,14.5141411,15.57485,0.3048058,0.921732,1.762885,0.6641558,0,2.738365,0.9417082,2.1450927,2.8031,1.335939,0.8250065,11.9197199,0
"K05641",0.650473444,7.557652585,4.681638536,2.925254803,2.333219,0,0,4.061716422,3.611363812,20.441681979,8.428556106,28.836243785,6.796370936,4.336167846,14.425746532,3.889140982,14.224124328,7.813821214,3.078505193,13.686677475,9.730242633,15.255246719,10.000083825,14.338273048,4.251506483,14.680912613,13.50438087,9.041979422,32.234521696,16.721015892,13.45814609,17.330641949,6.832434812,8.365589316,23.790844545,11.354383731,4.119413302,2.12726333,7.219757502,13.130130936,2.782503876,4.006216635
"K05642",0,1.241638648,0,0,1.085703558,0,0,1.140966167,1.662449265,1.635808383,0.939475523,29.08664216,1.437255986,0,1.115464842,1.768636239,1.869027291,0,5.26373161,0,7.598481974,2.492611367,4.621124653,7.613321916,5.253191864,3.042958395,0,0,0,3.645395983,2.2632533,16.61134861,3.249460053,5.538782855,28.78039793,12.7983829,1.345761951,1.828599362,0,1.793973781,0.537756643,0
"K05643",2.190402,11.162235,5.6704895,0,0,0,0,2.506201,0.4868893,6.564131,2.053572,0,0,0,0,0,0,0,0,0,0,0,0.3075933,2.935182,0,0,0,0,0,3.8540047,1.893856,0,1.30892,0.9328309,0,0.3748322,0.6505062,1.3301893,2.413331,3.26783,0,0
"K05655",6.686402,8.429579,7.319152,0,9.623442,0,0,8.075908,9.7744465,15.502841,8.742685,22.817586,15.5888853,12.93961,4.47898,3.9667942,25.640511,8.4600927,17.496222,45.39807,7.6449447,11.0783388,22.3442736,15.1014873,7.4517641,4.498024,5.4176618,6.968983,10.8092105,26.9825928,27.467288,4.524726,20.83678,30.347265,11.428088,16.7771015,3.1816537,1.081196,11.3477055,13.583639,2.3832797,0
"K05656",6.921813407,13.571219932,11.19181237,0,0,9.695514423,0,11.692932056,7.479627281,4.088758698,1.956875856,13.39266739,2.993725189,0,0.929380772,0,3.114464862,3.984440424,0,2.437025781,7.38163479,8.261106323,1.236788376,5.07476573,0.875368784,0,0,1.636704385,0,16.088617364,8.446733081,0,11.096983386,12.21947682,1.240303166,9.563989689,0,0,3.301872632,3.869647381,2.240235037,0
