,X1_050_06,X1_090_07,X1_120_01,X1_200_02,X1_300_04,X1_400_05,X1_600_03,X3_040_07,X3_060_01,X3_080_02,X3_120_06,X3_150_07,X3_200_01,X3_250_02,X3_300_01,X3_400_02,X3_500_04,X3_550_05,X3_600_03,X3_800_03,X5_020_06,X5_050_07,X5_080_01,X5_120_02,X5_200_04,X5_300_05,X5_400_03,X5_500_05,X5_600_03,X6_040_06,X6_080_07,X6_200_01,X8_040_06,X8_070_07,X8_200_01,X9_040_06,X9_070_07,X9_380_01,X12_040_06,X12_120_07,X12_300_01,X12_1900_03
K12209,3.184692869,6.260948925,2.165856471,0,51.94901518,122.6004512,1.895234744,5.21760544,6.907974612,4.325914399,2.179939334,10.45899029,33.552925,60.62797308,22.19934436,18.76606291,40.48926695,9.451196803,22.20510034,0,4.394271574,3.306562225,15.01095484,12.20349361,7.509384083,11.89716025,34.39305561,53.78763181,23.50439396,15.30603808,13.69284938,16.8948576,6.954351677,10.43401591,18.09184999,10.12213674,51.09450636,84.48694888,2.106238745,2.619720753,44.8674929,0
K12231,0,0.623595964,2.300381717,5.306008138,32.51912995,50.32106478,30.06727633,0,2.493607507,1.887705821,0,5.652303548,19.57596215,10.41885632,3.626272028,10.26271664,9.375499868,6.299806028,17.11858231,31.38815355,0.806947125,12.09667795,1.315631617,3.809200323,0.726602079,3.635558485,1.060986907,5.57633386,12.35111886,1.323504798,0.254443787,2.150401369,5.125105994,1.978476492,3.850571269,3.189630815,3.177858854,5.212458031,0,1.02608117,21.87704978,0
K12232,7.345986698,4.143247132,1.110196212,0,0,0,0,2.735962731,0.427409684,3.968398353,3.486813099,1.047072436,0,1.076384062,0,0.959384063,0,0,0,0,0,0,2.63527883,0,1.159818966,2.559411988,0,0,0,14.91408028,0,5.501291638,2.354666064,5.676444508,0,0.69617143,0,0,10.07660982,8.57369266,0,0
K12267,2.003614719,4.986702827,2.043937398,0,0,0,0,3.083654028,0,3.354532419,0,0,0,0,0,0,0,0,0,0,0.716989443,9.708008298,1.168966282,0,1.423530563,0,0,0,0,1.411154123,1.808629124,2.86601507,2.023895181,1.171945236,0.71761668,2.17611202,0,0,1.766822788,0,0,0
K12287,63.33857246,39.47396522,50.58280602,36.23842947,37.40754167,92.07101476,12.43031985,64.2273404,38.53026642,63.60786225,28.42540842,69.63945334,49.94581132,88.45066347,52.4324051,48.28481432,26.07845779,32.55703236,10.66591386,61.23882076,61.92842153,36.72096343,35.17769417,43.01688016,13.7508053,32.67949267,22.69367645,72.37463549,36.98834179,59.77055473,44.42591007,27.81662761,52.46489275,50.77569089,20.24153709,67.97343117,20.29376838,16.69474867,44.5451258,35.82342675,56.21390933,13.92702029
K12308,0,8.122329458,7.691045383,20.93792427,3.914126328,0,0,1.521672413,14.37960756,0,3.468256083,11.84400891,10.84679947,6.534699237,12.71548573,21.53376661,11.77018947,2.261076878,0,3.362838873,5.660936259,1.256017891,1.730528516,1.853311852,4.223076327,5.245180202,32.69102637,5.10268034,14.55990079,0.387778476,3.164498387,1.446579194,1.938008869,2.366088879,17.37604917,3.945563758,0.622699617,0.845847642,5.716899042,8.405014841,0,34.36241933
K12309,3.095097929,3.851622132,3.683617783,0,0,6.328853872,0,3.572622186,2.407777655,1.727312516,0.984968327,0,0,0,0,0,0,0,16.32862317,0,2.215148971,1.606769367,0.902884443,1.450417971,0,0,0,0.682967445,0,1.089945128,3.841602271,0,2.344819736,1.810370647,0.554271706,1.680782174,0,0,0.682327982,11.26677364,0,0
K12311,15.63613877,13.6853309,11.390237,26.67641847,27.7363145,89.27231121,110.7364994,20.2877118,17.73608751,13.46199264,11.00864479,20.07892875,36.35770276,43.46743648,82.44399766,68.72067192,94.60846434,57.53805793,36.02938446,90.28180223,5.228108134,21.78546643,11.06750022,10.09890061,21.3856472,26.95832745,59.86404918,55.8690819,58.08247988,9.465669332,6.999477796,13.53152854,8.575749936,8.002772271,7.838411949,10.95386191,47.91781374,50.04933876,15.76507962,8.592347818,56.55872126,44.42915626
K12319,0,0,0,0,0,0,0,1.880074394,0.543034645,62.30702302,8.587797933,7.175581706,4.923279503,0,0.914013387,0,1.399521935,1.672223075,0,3.353684139,5.8946682,9.121550965,19.70164316,5.643526148,3.471651924,2.278513516,0,9.752941876,1.268944193,3.093782541,6.307025993,0.785423368,4.131827446,5.76481961,9.134803022,1.192714755,0,3.135214543,0.726289222,3.705676726,3.590429643,0
K12323,2.677396659,0.493603492,1.820852785,0,1.322958294,5.474738637,43.80098075,1.37354501,0.396730326,0.996134504,3.408164741,1.943827689,0,2.353862492,2.003280079,6.294012259,3.791231986,1.221692964,5.136356926,12.71893778,0,0.617745155,1.041379992,2.230534619,2.53631994,3.703424622,5.555314924,3.938647067,12.0518505,0,2.014033907,0.851068388,0,0.522016905,1.27858547,1.292400845,0.56208284,2.290525472,1.573983724,1.082917526,2.623096583,0
K12347,30.04857629,23.83888588,28.21349237,11.68990517,0,3.908519326,10.92373809,40.4582437,25.8024654,26.784321,2.044796459,12.57241699,17.45573132,8.888670172,0,0,3.454095103,4.556608928,0,0,23.09408326,29.74100001,25.00137814,17.34699828,0,8.926942542,1.649082101,2.155691742,2.434182277,45.45412,49.91707254,10.7195473,35.71876043,46.94119757,26.86463717,27.4690429,19.73924172,9.322014167,5.159084461,0.642923014,0,0
K12348,1.612144703,1.94571609,1.595010579,0,23.80192348,0,0,1.240581949,0,0,1.492723317,0,9.636685634,16.01362285,15.24316933,39.37169417,31.30074703,26.48231072,12.85036899,0,0,0,0,0,15.81356952,19.79434551,22.54646609,25.48242737,18.07266339,0,0,0,0,0,0,0,0,0,5.686470502,0.978088031,6.060625258,0
K12349,0,0,0.538159629,0,0,0,0,0,0,0,0,0,0,0,0,2.790327144,10.75691837,9.749045946,1.518068873,3.222109783,0,1.095460894,0,0.494431933,1.124427803,0,0,6.286039512,6.575940959,0,0,0,0,0,0,0,1.993507406,0,1.395589753,0.480090289,20.93217351,0
K12373,5.3530388,2.939751291,6.938577513,0,4.78379628,12.33298709,1.122734082,1.501715716,0.528800447,1.327744155,1.135682681,14.16223936,3.890886199,23.90939492,6.164301866,20.60844684,7.468563049,17.00559159,5.04995649,75.9838811,6.539328366,3.959345653,6.024825656,4.087973587,4.704398753,7.691873081,8.720544479,25.20703752,2.947288454,8.057415568,8.847646467,0.567193022,5.666856265,2.042989206,9.246487268,1.667681238,4.36134296,5.989187129,4.343304796,1.183968676,11.24075104,0
